IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.170.78,443,443,TRUE,FRA,Europe,Frankfurt,172,7.4
144.24.187.165,443,443,TRUE,FRA,Europe,Frankfurt,269,7.39
89.168.120.193,443,443,TRUE,FRA,Europe,Frankfurt,203,7.37
144.24.243.207,443,443,TRUE,ZRH,Europe,Zurich,323,7.36
143.47.230.183,443,443,TRUE,FRA,Europe,Frankfurt,212,7.35
130.162.41.50,443,443,TRUE,FRA,Europe,Frankfurt,320,7.35
141.147.75.135,443,443,TRUE,FRA,Europe,Frankfurt,251,7.34
141.144.230.128,443,443,TRUE,FRA,Europe,Frankfurt,183,7.32
141.147.89.211,443,443,TRUE,FRA,Europe,Frankfurt,223,7.31
138.2.149.136,443,443,TRUE,FRA,Europe,Frankfurt,261,7.31
152.70.59.55,443,443,TRUE,FRA,Europe,Frankfurt,217,7.3
79.72.95.209,443,443,TRUE,FRA,Europe,Frankfurt,283,7.3
138.2.147.220,443,443,TRUE,FRA,Europe,Frankfurt,264,7.29
144.21.58.53,443,443,TRUE,FRA,Europe,Frankfurt,374,7.28
158.178.154.237,443,443,TRUE,FRA,Europe,Frankfurt,337,7.27
141.147.48.117,443,443,TRUE,FRA,Europe,Frankfurt,274,7.27
89.168.84.118,443,443,TRUE,FRA,Europe,Frankfurt,280,7.25
141.147.65.104,443,443,TRUE,FRA,Europe,Frankfurt,312,7.25
140.238.82.55,443,443,TRUE,FRA,Europe,Frankfurt,214,7.25
141.147.69.59,443,443,TRUE,FRA,Europe,Frankfurt,248,7.24
141.147.96.167,443,443,TRUE,FRA,Europe,Frankfurt,242,7.23
141.147.64.179,443,443,TRUE,FRA,Europe,Frankfurt,441,7.23
138.2.169.106,443,443,TRUE,FRA,Europe,Frankfurt,348,7.22
141.147.83.140,443,443,TRUE,FRA,Europe,Frankfurt,235,7.19
152.70.53.189,443,443,TRUE,FRA,Europe,Frankfurt,268,7.16
141.147.109.251,443,443,TRUE,FRA,Europe,Frankfurt,385,7.16
140.238.82.55,443,443,TRUE,FRA,Europe,Frankfurt,322,7.16
144.24.188.40,443,443,TRUE,FRA,Europe,Frankfurt,254,7.15
158.101.208.217,443,443,TRUE,FRA,Europe,Frankfurt,303,7.12
193.123.61.16,443,443,TRUE,FRA,Europe,Frankfurt,407,7.12
150.230.21.115,443,443,TRUE,FRA,Europe,Frankfurt,236,7.12
